ext_id,name,reference_id,opinion
127397457601670,陳根德,1661,0.3256660931383919
169014523134260,林淑芬,52,0.48011393356405696
295363753921281,Chris White,3477,0.44156955901422057
613631835423903,Stewart Hosie MP,3193,0.013445732874294514
284882801581896,Frank Schäffler,4425,0.2482585460380362
712493248818711,Jean-François Jalkh,2130,0.22102569910282044
105367536223828,Kennedy Stewart,1716,0.6340723326315166
561507140593570,Hans Andersen,4812,0.5162140633822183
1454302588159101,Scott Emerson,3185,0.7234645058814774
585862021507535,Vittorio Ferraresi,4903,0.8031261150510614
138817676168980,Eruviel Ávila,3669,0.2762727466380458
404900139669473,Angela Crawley MP,1079,0.03851677792356023
711288605584019,Dr. Jorge Silva,5874,0.7962236835306745
238903929634988,Dariusz Rosati,22,0.21867837122371958
660084404031850,Jorge Côrte Real,798,0.870376839744489
417611728255943,Lynn Westmoreland,5703,0.38812216745432015
118388888197666,Ed Husic MP,4185,0.5998483960134698
71072295365,Paula Bertol,1908,0.397202222254998
254945391382154,Andy Fillmore,4042,0.6174905732983472
6290032613,Deval Patrick,3345,0.5077646139133534
228018320577056,Janusz Cichoń,828,0.7018152626251974
312413003572,François de Rugy,1406,0.9419123033320281
449993215096972,Jesús de la Garza Chuchín,2623,0.5189217432061503
549641668392122,Gerardo García Castillo,4335,0.8278745550631696
271689652955993,Valeria Fedeli,4966,0.037336681195972776
470717443079516,"Wayne Anderson, United Conservative MLA for Highwood",5183,0.6826194518289938
176548369099092,Barbara Lee,4884,0.8641697240513879
370319116027,Andrzej Halicki,3301,0.9300817670993924
433052760111334,Jarosław Wałęsa,5567,0.9747597252607698
404488589602913,Helmut Brandt,5191,0.01755347736289059
91487861770,Sabine Verheyen,5713,0.643646860680308
18050788524,Rona Ambrose,2060,0.1958738048924411
199793346871881,Benedita da Silva,639,0.6378318122435411
762308423834688,Alessia Rotta,4286,0.8338546505794244
216342268645,Tony Abbott,519,0.7334582348470565
653930611303743,Anabel Acosta Islas,4693,0.5977545221470447
115142085180173,Baey Yam Keng 马炎庆,5672,0.6835635568658037
153479671489789,Jane Philpott,1680,0.23194385776382032
113158811451,Edward Scicluna,5147,0.36989048319527207
414809308591481,Pablo Iglesias,5425,0.9510603705844531
542937762523338,陳茂嘉,4865,0.7864708272981406
280996218747910,Tim Richardson,2788,0.018587842488295925
258656010969084,Gonzaga Patriota,1445,0.8642513127590493
97347576284,Tomás Gómez,1537,0.1217879445939467
586751814690068,Joni Ernst,4687,0.7218486114027488
1667321103532155,Metiria Turei MP,3006,0.7408091598741454
176212056159223,Markus Hümpfer,2401,0.5024085996254042
414763141986597,Rogán Antal,1732,0.39735301622720265
267044410338956,Bogdan Gheorghiu,2150,0.9002432679428747
1414924505466631,Joshua Morris MP,3305,0.1987616030268584
62373912330,Daniel Hannan,4417,0.16233028107462788
570019879784017,Petr Dolínek,658,0.08599306301489462
285567581556423,"Hon. Candice Bergen, MP",674,0.297573937188376
127567737259528,Barbara L'Italien,278,0.2658420000262195
81107269227,Mónica Oltra,2526,0.3376780272242881
231656403567259,Lorenz Caffier,119,0.5158238327730861
254367477916796,Jolanta Szczypińska,4654,0.7035079895218345
1428625620718096,Angela Lück,3809,0.6348490875077757
124485667654878,Kakha Kaladze კახა კალაძე,593,0.6143704128954199
452935231455081,Senador Wilder Morais,2952,0.4266979419596457
105589846177501,"Hans-Peter Friedrich, CSU",5482,0.4482090125719136
611619002239146,Senator Don Plett,3380,0.8384229979724124
8569265134,Alexandre Cloutier,1246,0.27050528951595154
174852262702077,Alistair Burt,2019,0.5975029228654815
1155718097801871,Marco A. Mena,847,0.3053431321043649
114486688586371,Tom McGee,1174,0.5130330239386665
1583289685223022,Jonathan Coleman,1748,0.7781699827636653
417477318355776,Steph Ryan for Euroa,1982,0.28245669480022784
36379612880,Cem Özdemir,4023,0.40512746507475195
528887520528857,Randy Boissonnault,468,0.25206584282040867
12173141558,Amanda Rishworth MP,4749,0.21402636449745238
411935132202922,"Karin Strenz, MdB",2591,0.23319196132336562
886968011353216,Stephen Crabb,5012,0.7218056764166704
163923497121139,Andreas Lenz,5422,0.2092303671998209
268166203199602,Hector Gutierrez de la Garza,3733,0.42753242876761255
809004655861249,Andy Burnham,4356,0.849008601135826
415451491875178,Jürgen Baumgärtner,2669,0.4721588841123381
370525506320360,"Constanze Krehl, MdEP",2599,0.9730949168223069
1114667701881963,Diane Lebouthillier,3541,0.33376929870673966
456395114442888,Patrick Labaune,5200,0.1636110207118554
234233933684975,Kirsten Kappert-Gonther,4496,0.434788940291974
175361972490283,Simon Busuttil,3719,0.23505932054038448
179856875529257,Padre João PT,1639,0.5627709220754372
875392152484408,Bärbel Höhn,2707,0.13070726670440191
1565513493746791,Senator Linda Frum,922,0.44751920785714105
298621020195483,Julia Klöckner,3460,0.461471233007269
385459414829351,看見幸福 呂玉玲,424,0.38442918553055583
116868855036962,Craig Ondarchie MP,5718,0.37747741841199567
1089311811153278,Michael Atkinson,2103,0.5749639794892466
480535868644583,Wilfried Oellers,1299,0.8856122911642478
104817488512,Peter MacKay,5285,0.7241024103361403
158595174276816,Deane Rykerson for Kittery,1389,0.5340270449499838
15221804966,Sir Alan Haselhurst,3697,0.25906434209873896
148950081810015,Mike Sonko.,2136,0.30276099222270847
124174484304839,Juan Carlos Varela,2543,0.8742516704587006
500132113477953,Indio da Costa,5230,0.10656181412142673
111295601527,Mike Kelly MP,1220,0.2561329085317442
97640646271,Steven MacKinnon,298,0.8751101526285743
343938391806,Leif Lahn Jensen,4412,0.820438645169768
378584562192977,José de Filippi,5087,0.8157306470355391
142247399137426,Hugh McDermott MP: State Member for Prospect,1475,0.23745074058381732
259386257405548,Alejandra López Noriega,5463,0.5232724922113653
194243072092,Lisa Nandy,747,0.19296742992393245
1380498935559739,Jenny Salesa MP,2514,0.851845118149623
390925417751473,Erling Bonnesen,1616,0.8853848628325537
122996304433025,Albert Rösti,3691,0.02431777825361614
588086784652088,Jodi McKay MP - Member for Strathfield,5312,0.05096840669551017
611816152280592,Rita Stockhofe,2127,0.44318542548896256
1627976910848818,Astrid Rössler,3131,0.982231974640114
193382420696960,Pierfrancesco Maran,3690,0.20439228667445453
456712937738176,Laura Castelli,719,0.7646603522549237
257633467585013,Keiko Ota,3805,0.5881603897894943
729931240351201,Andreas Schwarz,1711,0.11525445345069185
1524680221094223,Cacá Leão,5233,0.23923379513287735
175335262547741,Dan Kildee,5140,0.551229736392728
393604124061434,Lee Li Lian 李丽连,2169,0.3573421962452461
183481715188303,Theodor Stolojan,4555,0.633545659510705
323347281121134,Erin McClelland,702,0.6787521366798259
513032565431680,Alexander Funk,1318,0.5491038632354299
607249992636305,Gianluca Vacca,4057,0.9177294522316602
475470169289304,Dan Ruimy MP,2321,0.5809071309262491
157267610953537,Dayne Walling,4794,0.2629519539365507
608278342616098,Marc Tanguay,3173,0.43880628816522493
306796832807017,Carlos Coelho,4103,0.5888065915574058
615832768499515,Marco Affronte,3678,0.017004316853645896
293007130807855,Michael Vietz,3620,0.6837230085586599
618721081566600,Representative Ryan Fecteau,1695,0.06807664597396157
205032482983580,Derek Thomas,3645,0.3805517816607551
275632269117054,Daniel Constantin,3278,0.5463779033561452
10714392889,Simone Baldelli,1891,0.9833639352583675
423677884320318,Kamal Thapa,3447,0.43123069880153364
530529360362928,Guillermo Durand Cornejo,2864,0.6756456246037069
709582595828324,Neven Mimica,1938,0.2242666832456921
298127446960893,Luciana Santos,4951,0.4886083162452597
802874853112843,Philippe Loiseau,2789,0.829901594345247
491146254290346,Vilma Moronese Cittadina Senatrice M5S,3807,0.9947750563561618
489667171083448,Thomas Gehring,4668,0.24303534261434978
1408142216156387,Lars Chr. Lilleholt,3934,0.07071502812171582
217139118403377,Thyra Frank,5143,0.22316104142820503
1587565344835542,Lelo Coimbra,3341,0.8318484776588262
338686842829477,Ing. Enrique Cárdenas del Avellano,5655,0.5608989819851392
102734125953,Rob Wittman,1681,0.40341950194875165
224408284297413,Fábio Faria,5563,0.9068449305760865
51052893175,Kevin McCarthy,3888,0.07082137968986635
485067324853989,Tammam Salam,678,0.9544509522414608
1766893923542576,Pat Boyd,1735,0.3509420075372073
700066890042747,"Ulrike Trebesius, MEP",3585,0.6049478100858684
80987211775,Bill Cassidy,3349,0.14663008120674714
324023331301080,Ramón Espinar,1772,0.12880097727461404
155184094662465,Kesineni Nani,3681,0.4253462217633086
112192082191063,Dorota Rutkowska - Poseł Platformy Obywatelskiej,1579,0.2072653003811039
164221090300505,Jenny Mikakos MP,108,0.8356349881713879
206866712830769,Nicola Beer,3852,0.4662080973068825
1509535792643315,Edgar Melhem Salinas,2525,0.284826308344031
422665717788216,חיים כץ - שר העבודה והרווחה,2133,0.3420963388888163
19283272906,Marco Cappato,4671,0.26873589399944164
106730300166,Dave Turcotte,1588,0.7129504814368038
112919645452925,Artur Gierada,5647,0.1522864193803286
174866249236469,Tulsi Gabbard,2981,0.16808186419603
52418678069,Rainer Wieland,3680,0.03192926703111065
376475555670,Sam Singh,1055,0.6315001731283164
723311241034230,Natalie Suleyman MP,5621,0.5850940063621654
287814831337164,Jesper Petersen,5127,0.7054619974522576
363813773727121,Detlef Wimmer,3966,0.12389088087650013
565826410233605,Suzanne Orr,2930,0.9417717342811737
918395134840916,Jason Nixon,743,0.7966407344275569
539267906164443,Alexandre Serfiotis,4025,0.41039466085520315
212542105581113,Jean Habel - Député de Sainte-Rose,5453,0.8993670886785998
551203304961503,Battulga Khaltmaa,5440,0.7151256553186365
561599087278335,Ivana Maletić,5571,0.8827033958772644
211122988933967,吳思瑤,4594,0.5937725182597846
1492078697732741,Åsa Regnér,4206,0.41554418998890086
255056481315205,José Manuel Fernandes,4893,0.7117090740722217
439102769545668,"Sénateur Claude Carignan, C. P.",502,0.1601172938306279
39665499642,Lisa Madigan,5807,0.26079885291164473
114889085297701,Ricardo Anaya Cortés,1637,0.44983350679227296
123401227737699,Inácio Arruda,1171,0.8421490311852969
159871897429198,Aldo Rebelo,4672,0.9727755440370931
410112025768173,PMO Bhutan,2264,0.01995935154462014
